2023-04-26 00:20:33.542 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-26 00:20:34.582 [restartedMain] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-04-26 00:20:34.953 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2cc8ad05: startup date [Wed Apr 26 00:20:30 CST 2023]; root of context hierarchy
2023-04-26 00:20:35.021 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addStudent]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<com.nsapi.niceschoolapi.entity.StudentDB> com.nsapi.niceschoolapi.controller.AddStudentController.addStudent(com.nsapi.niceschoolapi.entity.StudentVO,java.lang.String,java.lang.String) throws java.lang.Exception
2023-04-26 00:20:35.022 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addStudentPage]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AddStudentController.selPolitics(org.springframework.ui.Model)
2023-04-26 00:20:35.022 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addTeacherPage]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AddTeacherController.addTeacherPage(org.springframework.ui.Model)
2023-04-26 00:20:35.022 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addTeacher]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<com.nsapi.niceschoolapi.entity.TeacherDB> com.nsapi.niceschoolapi.controller.AddTeacherController.addTeacher(com.nsapi.niceschoolapi.entity.TeacherDB,java.lang.String,java.lang.String) throws java.lang.Exception
2023-04-26 00:20:35.025 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/addoneev]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.addOneEv(com.nsapi.niceschoolapi.entity.EvaluateListDB)
2023-04-26 00:20:35.026 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/seltch]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AppraiseController.seltch()
2023-04-26 00:20:35.026 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/evlistcontrol]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AppraiseController.evListControl()
2023-04-26 00:20:35.026 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/deleteoneev]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.deleteOneEv(java.lang.Integer)
2023-04-26 00:20:35.027 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/addoneappraise]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.addOneAppraise(com.nsapi.niceschoolapi.entity.EvTchVO)
2023-04-26 00:20:35.027 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/editoneev]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.editOneEv(com.nsapi.niceschoolapi.entity.EvaluateListDB)
2023-04-26 00:20:35.027 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/findalltm]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.findalltm(com.nsapi.niceschoolapi.entity.EvaluateListDB,java.lang.Integer,java.lang.Integer)
2023-04-26 00:20:35.027 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/findalltch]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.findalltch(com.nsapi.niceschoolapi.entity.SelEvRecardVO)
2023-04-26 00:20:35.027 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/selonestate]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.selOneState(com.nsapi.niceschoolapi.entity.EvaluateRecordDB)
2023-04-26 00:20:35.029 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/update]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.update(com.nsapi.niceschoolapi.entity.coursel)
2023-04-26 00:20:35.030 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selCou]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.courseController.selCourse()
2023-04-26 00:20:35.030 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addcou]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.addcou(com.nsapi.niceschoolapi.entity.coursel)
2023-04-26 00:20:35.030 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selJson]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.selJson()
2023-04-26 00:20:35.031 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/delcou]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.delcou(java.lang.Integer)
2023-04-26 00:20:35.031 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sel]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.sel(java.lang.Integer,java.lang.Integer,com.nsapi.niceschoolapi.entity.coursel,java.lang.String)
2023-04-26 00:20:35.032 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selCoutu]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.selCoutu()
2023-04-26 00:20:35.032 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hfcou]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.courseController.hfcou(java.lang.Integer)
2023-04-26 00:20:35.033 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/insertDropout]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.DeleteController.insertDropout(java.lang.String,java.lang.String,org.springframework.ui.Model)
2023-04-26 00:20:35.033 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/delStudent]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<java.util.Map> com.nsapi.niceschoolapi.controller.DeleteController.delStudent(java.lang.String,java.lang.String)
2023-04-26 00:20:35.034 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/seledCourse]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.DropCourseController.seledCourse()
2023-04-26 00:20:35.034 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dropcou]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.DropCourseController.dropcou(java.lang.Integer)
2023-04-26 00:20:35.035 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/seld]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.DropCourseController.sel(java.lang.Integer,java.lang.Integer,java.lang.String)
2023-04-26 00:20:35.035 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dropoutPage]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.DropoutController.dropoutPage()
2023-04-26 00:20:35.035 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selDropout]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<java.util.Map> com.nsapi.niceschoolapi.controller.DropoutController.selDropout(com.nsapi.niceschoolapi.entity.pageCount,com.nsapi.niceschoolapi.entity.StudentDB)
2023-04-26 00:20:35.036 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selGrade]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<java.util.Map> com.nsapi.niceschoolapi.controller.GradeController.selGrade(java.lang.Integer)
2023-04-26 00:20:35.036 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selExam]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.GradeController.selExam(java.lang.String,java.lang.Integer,org.springframework.ui.Model)
2023-04-26 00:20:35.037 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/selectGrade]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.GradeController.pageSelgrade(org.springframework.ui.Model)
2023-04-26 00:20:35.037 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/home || /]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.IndexController.index()
2023-04-26 00:20:35.037 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/schedulelist]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.IndexController.ScheduleList(com.nsapi.niceschoolapi.entity.ScheduleDB)
2023-04-26 00:20:35.038 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/newslist]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.IndexController.NewsList(com.nsapi.niceschoolapi.entity.NewsinfoDB,java.lang.Integer)
2023-04-26 00:20:35.040 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.LonginController.index(javax.servlet.http.HttpSession,java.lang.String)
2023-04-26 00:20:35.040 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/main]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.LonginController.main(org.springframework.ui.ModelMap)
2023-04-26 00:20:35.040 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/systemLogout]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.LonginController.logOut()
2023-04-26 00:20:35.040 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/toLogin]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.LonginController.adminToLogin(javax.servlet.http.HttpSession,java.lang.String)
2023-04-26 00:20:35.041 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/getUserMenu]}" onto public java.util.List<com.nsapi.niceschoolapi.entity.ShowMenuVo> com.nsapi.niceschoolapi.controller.LonginController.getUserMenu()
2023-04-26 00:20:35.041 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getCaptcha]}" onto public void com.nsapi.niceschoolapi.controller.LonginController.getCaptcha(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2023-04-26 00:20:35.041 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/login],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.LonginController.adminLogin(javax.servlet.http.HttpServletRequest)
2023-04-26 00:20:35.042 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin || /admin/index]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.LonginController.adminIndex(org.springframework.web.servlet.mvc.support.RedirectAttributes,org.springframework.ui.ModelMap)
2023-04-26 00:20:35.043 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/add],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.MenuController.add(com.nsapi.niceschoolapi.entity.Menu)
2023-04-26 00:20:35.044 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/add]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.MenuController.add(java.lang.String,org.springframework.ui.ModelMap)
2023-04-26 00:20:35.044 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/delete],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.MenuController.delete(java.lang.String)
2023-04-26 00:20:35.044 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/list]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.MenuController.list()
2023-04-26 00:20:35.044 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/edit],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.MenuController.edit(com.nsapi.niceschoolapi.entity.Menu)
2023-04-26 00:20:35.044 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/edit]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.MenuController.edit(java.lang.String,org.springframework.ui.ModelMap)
2023-04-26 00:20:35.045 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/menu/treeList]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.MenuController.treeList()
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/addnews]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.NewsController.addnews()
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/findallnews]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.NewsController.findallnews(com.nsapi.niceschoolapi.entity.NewsinfoDB,java.lang.Integer,java.lang.Integer)
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/addingnews]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.NewsController.addingNews(com.nsapi.niceschoolapi.entity.NewsinfoDB)
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/newscontrol]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.NewsController.newscontrol()
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/deletenews]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.NewsController.deleteNews(java.lang.Integer)
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/editingnews]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.NewsController.editNews(com.nsapi.niceschoolapi.entity.NewsinfoDB)
2023-04-26 00:20:35.046 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/page]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.PageController.page()
2023-04-26 00:20:35.048 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/add]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.RoleController.add(org.springframework.ui.ModelMap)
2023-04-26 00:20:35.048 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/add],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.RoleController.add(com.nsapi.niceschoolapi.entity.Role)
2023-04-26 00:20:35.048 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/delete],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.RoleController.delete(java.lang.String)
2023-04-26 00:20:35.048 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/list],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.base.PageData<com.nsapi.niceschoolapi.entity.Role> com.nsapi.niceschoolapi.controller.RoleController.list(java.lang.Integer,java.lang.Integer,javax.servlet.ServletRequest)
2023-04-26 00:20:35.048 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/list]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.RoleController.list()
2023-04-26 00:20:35.048 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/edit]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.RoleController.edit(java.lang.String,org.springframework.ui.ModelMap)
2023-04-26 00:20:35.049 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/edit],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.RoleController.edit(com.nsapi.niceschoolapi.entity.Role)
2023-04-26 00:20:35.049 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/system/role/deleteSome],methods=[POST]}" onto public com.nsapi.niceschoolapi.common.util.ResponseEntity com.nsapi.niceschoolapi.controller.RoleController.deleteSome(java.util.List<com.nsapi.niceschoolapi.entity.Role>)
2023-04-26 00:20:35.051 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/schoolmanage/editonedpm]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.SchoolManageController.editOneDpm(com.nsapi.niceschoolapi.entity.DepartmentDB)
2023-04-26 00:20:35.052 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/schoolmanage/findallgrade]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.SchoolManageController.findAllGrade(com.nsapi.niceschoolapi.entity.SchoolManageVO,java.lang.Integer,java.lang.Integer)
